paper_name,simplerenv_widowx_bridge_success_rate,simplerenv_widowx_bridge_prev_sota_success_rate,delta_simplerenv_widowx_bridge_success_rate,P_A,Delta_necessary,Delta_sufficient,delta_bin
SPEAR-1: Scaling Beyond Robot Demonstrations via 3D Understanding,57.3,42.7,0.1459999999999999,0.4270833333333333,0.03125,0.17708333333333334,possibly_significant
STARE-VLA: Progressive Stage-Aware Reinforcement for Fine-Tuning Vision-Language-Action Models,98.0,92.5,0.05499999999999994,0.9270833333333334,0.03125,0.052083333333333336,certainly_significant
STORM: Search-Guided Generative World Models for Robotic Manipulation,51.0,47.9,0.031000000000000028,0.4791666666666667,0.03125,0.16666666666666666,not_significant
ThinkAct: Vision-Language-Action Reasoning via Reinforced Visual Latent Planning,43.8,35.4,0.08399999999999996,0.3541666666666667,0.03125,0.16666666666666666,possibly_significant
Unified Diffusion VLA: Vision-Language-Action Model via Joint Discrete Denoising Diffusion Process,62.5,59.4,0.031000000000000028,0.59375,0.03125,0.14583333333333334,not_significant
Unified Vision-Language-Action Model,69.8,42.7,0.2709999999999999,0.4270833333333333,0.03125,0.17708333333333334,certainly_significant
Unifying Perception and Action: A Hybrid-Modality Pipeline with Implicit Visual Chain-of-Thought for Robotic Action Generation,71.5,69.8,0.017000000000000015,0.6979166666666666,0.03125,0.125,not_significant
UniVLA: Learning to Act Anywhere with Task-centric Latent Actions,47.9,31.3,0.16599999999999998,0.3125,0.03125,0.15625,certainly_significant
Verifier-free Test-Time Sampling for Vision Language Action Models,50.3,46.9,0.03400000000000003,0.46875,0.03125,0.16666666666666666,possibly_significant
VideoVLA: Video Generators Can Be Generalizable Robot Manipulators,53.1,53.1,0.0,0.53125,0.03125,0.15625,not_significant
villa-X: Enhancing Latent Action Modeling in Vision-Language-Action Models,62.5,62.0,0.0050000000000000044,0.625,0.03125,0.13541666666666666,not_significant
ViPRA: Video Prediction for Robot Actions,62.5,42.7,0.19799999999999995,0.4270833333333333,0.03125,0.17708333333333334,certainly_significant
VLA-Reasoner: Empowering Vision-Language-Action Models with Reasoning via Online Monte Carlo Tree Search,41.8,34.0,0.07799999999999996,0.34375,0.03125,0.15625,possibly_significant
